name,category,domain,from_price_usd_mo,flags,review_url,researched,entry_price,entry_price_terms,pricing_status
Buzz.ai,Sales & CRM,buzz.ai,79.0,per_seat|usage_metered|free_tier,https://aibuildermarketplace.com/b2b/buzz-ai-review/,2026-07,$79,"per seat a month (500 credits/mo, billed monthly)",public
Bybit,Financial Operations,bybit.com,,,https://aibuildermarketplace.com/b2b/bybit-review/,2026-07,,,see_details
Calilio,Communication & Voice,calilio.com,12.0,per_seat|usage_metered|annual_lock,https://aibuildermarketplace.com/b2b/calilio-review/,2026-07,$12,per user a month billed annually ($15 monthly),public
CallHippo,Communication & Voice,callhippo.com,19.0,per_seat|usage_metered|addons_extra|annual_lock,https://aibuildermarketplace.com/b2b/callhippo-review/,2026-07,$19,per user a month billed annually,public
CallRail,Growth & Revenue,callrail.com,55.0,usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/callrail-review/,2026-07,$55,"a month (plus usage), or $50 a month billed yearly",public
Campaign Monitor,Growth & Revenue,campaignmonitor.com,,addons_extra|annual_lock,https://aibuildermarketplace.com/b2b/campaign-monitor-review/,2026-07,€9,a month Website Builder add-on,public
Campaigner,Growth & Revenue,campaigner.com,14.0,usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/campaigner-review/,2026-07,$14,"per month at 1,000 contacts, but automation starts on Advanced at $35/mo",public
Capsule,Growth & Revenue,capsulecrm.com,,per_seat|addons_extra|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/capsule-review/,2026-07,,,see_details
Carbon6,Operations & Workflow,carbon6.io,,,https://aibuildermarketplace.com/b2b/carbon6-review/,2026-07,,,quote_only
Castmagic,Video & Audio,castmagic.io,,annual_lock,https://aibuildermarketplace.com/b2b/castmagic-review/,2026-07,$19,"Hobby · per month when billed annually at $239 a year, for 30 transcribed hours…",public
ChatGPT AI Product Description,Design & Content,profitoniumapps.com,19.0,usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/chatgpt-ai-product-description-review/,2026-07,$19,"Basic · per month for 2,000 credits, billed in USD every 30 days",public
Checkr,Operations & Workflow,checkr.com,,addons_extra,https://aibuildermarketplace.com/b2b/checkr-review/,2026-07,,,quote_only
ChemiCloud,IT & Productivity,chemicloud.com,1.95,renewal_jump,https://aibuildermarketplace.com/b2b/chemicloud-review/,2026-07,$1.95,per month on the 36-month term (September campaign),public
Circle,Growth & Revenue,circle.so,89.0,usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/circle-review/,2026-07,$89,Professional · per month billed annually ($129 billed monthly),public
Claap,Sales & CRM,claap.io,,per_seat|usage_metered|addons_extra|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/claap-review/,2026-07,€24,"Pro · per month, annual",public
Claude,IT & Productivity,claude.ai,17.0,free_tier,https://aibuildermarketplace.com/b2b/claude-review/,2026-07,$17,"a month billed annually ($200 upfront), or $20 a month billed monthly",public
Clay,Growth & Revenue,clay.com,167.0,usage_metered|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/clay-review/,2026-07,$167,"entry paid plan, from… · billed monthly",public
ClickUp,Operations & Workflow,clickup.com,7.0,per_seat|addons_extra|free_tier,https://aibuildermarketplace.com/b2b/clickup-review/,2026-07,$7,per user per month billed yearly ($10 monthly),public
Clonable,Design & Content,clonable.net,,,https://aibuildermarketplace.com/b2b/clonable-review/,2026-07,€49,per month billed annually (€59 monthly),public
Cloro,Marketing,cloro.dev,30.0,usage_metered|addons_extra|free_tier,https://aibuildermarketplace.com/b2b/cloro-review/,2026-07,$30,"Lite · per month for 37,500 credits",public
Close,Growth & Revenue,close.com,19.0,per_seat|usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/close-review/,2026-07,$19,"Solo, per user · per month, billed month to month",public
CloudTalk,Communication & Voice,cloudtalk.io,,per_seat|usage_metered|addons_extra|annual_lock,https://aibuildermarketplace.com/b2b/cloudtalk-review/,2026-07,€19,Lite · per user per month on annual billing,public
CloudTask,HR & People,cloudtask.com,,,https://aibuildermarketplace.com/b2b/cloudtask-review/,2026-07,,,quote_only
Cloudways,IT & Productivity,cloudways.com,14.0,addons_extra,https://aibuildermarketplace.com/b2b/cloudways-review/,2026-07,$14,"Micro… · per month, billed hourly at $0.0208 over a 672-hour month",public
Cloze,Customer Support,cloze.bot,49.0,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/cloze-review/,2026-07,$49,"Starter · per month for 250 AI conversations on the App Store listing, plus $0.10…",public
Clutch,Operations & Workflow,clutch.co,,,https://aibuildermarketplace.com/b2b/clutch-review/,2026-07,,,see_details
Code Bulk Discounts,E-commerce,discountkit.app,14.99,free_tier,https://aibuildermarketplace.com/b2b/code-bulk-discounts-review/,2026-07,$14.99,per month,public
Cognism,Sales & CRM,cognism.com,,per_seat|usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/cognism-review/,2026-07,,,quote_only
CometChat,Communication & Voice,cometchat.com,239.0,usage_metered|addons_extra|free_tier,https://aibuildermarketplace.com/b2b/cometchat-review/,2026-07,$239,"a month at 1,000 MAU billed yearly ($298.75 monthly)",public
Compliancely,Financial Operations,compliancely.com,16.95,usage_metered|annual_lock,https://aibuildermarketplace.com/b2b/compliancely-review/,2026-07,$16.95,per month billed yearly ($19.95 monthly),public
Connecteam,Operations & Workflow,connecteam.com,29.0,per_seat|free_tier,https://aibuildermarketplace.com/b2b/connecteam-review/,2026-07,$29,"per month billed yearly ($35 monthly), covers first 30 users",public
Consensus,IT & Productivity,consensus.app,15.0,free_tier,https://aibuildermarketplace.com/b2b/consensus-review/,2026-07,$15,"per month billed annually (unlimited Pro searches, 15 Deep searches)",public
Consentmo,E-commerce,consentmo.com,,free_tier,https://aibuildermarketplace.com/b2b/consentmo-review/,2026-07,$10,"Standard · a month, or $100 a year, for unlimited cookie scans, multi-region…",public
Contractor Foreman,Operations & Workflow,contractorforeman.com,49.0,,https://aibuildermarketplace.com/b2b/contractor-foreman-review/,2026-07,$49,Basic · per month billed annually for the whole company with 1 user,public
Convert,Marketing,convert.com,399.0,usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/convert-review/,2026-07,$399,"a month, or $299 a month billed annually ($3,588/yr)",public
CrankWheel,Communication & Voice,crankwheel.com,29.0,free_tier,https://aibuildermarketplace.com/b2b/crankwheel-review/,2026-07,$29,"per month, 1 user, unlimited usage",public
Crazy Egg,Growth & Revenue,crazyegg.com,29.0,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/crazy-egg-review/,2026-07,$29,"per month billed annually (5,000 pageviews, 50 recordings)",public
Credit Repair Cloud,Financial Operations,creditrepaircloud.com,49.0,usage_metered|annual_lock,https://aibuildermarketplace.com/b2b/credit-repair-cloud-review/,2026-07,$49,a month for one user,public
CrowdStrike,Security,crowdstrike.com,,,https://aibuildermarketplace.com/b2b/crowdstrike-review/,2026-07,$7.99,"Falcon Go · per device per month, or $59.99 per device a year",public
Databox,Operations & Workflow,databox.com,71.0,usage_metered|addons_extra|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/databox-review/,2026-07,$71,"a month billed annually (1 user, 5 sources, 150 AI credits)",public
Datarails,Financial Operations,datarails.com,,addons_extra,https://aibuildermarketplace.com/b2b/datarails-review/,2026-07,,,quote_only
Deel,HR & People,deel.com,14.0,per_seat|addons_extra,https://aibuildermarketplace.com/b2b/deel-review/,2026-07,$14,a month per worker for HR and hiring tools,public
Deputy,Operations & Workflow,deputy.com,5.0,per_seat|addons_extra|annual_lock,https://aibuildermarketplace.com/b2b/deputy-review/,2026-07,$5,"Lite · per user per month on annual billing, excluding tax",public
Descript,Operations & Workflow,descript.com,16.0,usage_metered|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/descript-review/,2026-07,$16,"per person a month billed annually, $24 billed monthly",public
Devs.ai,IT & Productivity,devs.ai,15.0,per_seat|usage_metered|addons_extra|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/devs-ai-review/,2026-07,$15,"Personal, per seat · per seat per month billed annually ($18 billed monthly)",public
Dext,Financial Operations,dext.com,25.21,usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/dext-review/,2026-07,$25.21,per month billed annually ($31.50 billed monthly),public
Dify,IT & Productivity,dify.ai,59.0,usage_metered,https://aibuildermarketplace.com/b2b/dify-review/,2026-07,$59,a month ($590/yr) per workspace,public
Diginius,Growth & Revenue,diginius.com,75.0,usage_metered,https://aibuildermarketplace.com/b2b/diginius-review/,2026-07,$75,per month (USD),public
Digit,Operations & Workflow,heysutton.com,400.0,addons_extra,https://aibuildermarketplace.com/b2b/digit-review/,2026-07,$400,Starter · per month including 5 users,public
Disputifier,Financial Operations,disputifier.com,,usage_metered,https://aibuildermarketplace.com/b2b/disputifier-review/,2026-07,,,see_details
DocSend,IT & Productivity,docsend.com,10.0,per_seat|addons_extra,https://aibuildermarketplace.com/b2b/docsend-review/,2026-07,$10,"Personal · per user per month billed yearly ($15 billed monthly), one user, no…",public
Dondy,Marketing,dondy.net,6.99,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/dondy-review/,2026-07,$6.99,Pro · per month for the chat button and messages you send by hand,public
doola,Financial Operations,doola.com,,renewal_jump|addons_extra,https://aibuildermarketplace.com/b2b/doola-review/,2026-07,$297,per year,public
Drip,Marketing,drip.com,39.0,usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/drip-review/,2026-07,$39,"2,500 contacts · per month",public
Dripify,Sales & CRM,dripify.com,39.0,per_seat|usage_metered,https://aibuildermarketplace.com/b2b/dripify-review/,2026-07,$39,Basic (per user) · per user per month billed annually,public
Dripshipper,E-commerce,dripshipper.io,,addons_extra,https://aibuildermarketplace.com/b2b/dripshipper-review/,2026-07,$30,"Starter · per month, or $240 a year which works out at $20 a month",public
DropGenius,Growth & Revenue,dropgenius.com,24.0,annual_lock,https://aibuildermarketplace.com/b2b/dropgenius-review/,2026-07,$24,Pro · per month billed annually at $288 -- cheaper than the $39 monthly…,public
Dryground AI,IT & Productivity,dryground.ai,,,https://aibuildermarketplace.com/b2b/dryground-ai-review/,2026-07,,,quote_only
Dynasort,E-commerce,dynasort.io,99.0,,https://aibuildermarketplace.com/b2b/dynasort-review/,2026-07,$99,Basic · per month,public
Easy Advanced Translations,E-commerce,northwest.dev,,usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/easy-advanced-translations-review/,2026-07,,,see_details
Easy Bundles,E-commerce,skailama.com,,usage_metered|addons_extra|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/easy-bundles-review/,2026-07,$29,"Essential · per month, or $299 a year",public
EasyDMARC,Security,easydmarc.com,35.99,usage_metered|annual_lock,https://aibuildermarketplace.com/b2b/easydmarc-review/,2026-07,$35.99,a month billed annually ($44.99 monthly) for 2 domains,public
EcomXray,E-commerce,ecomxray.io,29.0,free_tier,https://aibuildermarketplace.com/b2b/ecomxray-review/,2026-07,$29,"Pro · per month for in-place product editing, SEO fields and automatic…",public
eDesk,Communication & Voice,edesk.com,39.0,per_seat|usage_metered|addons_extra|free_tier,https://aibuildermarketplace.com/b2b/edesk-review/,2026-07,$39,"Essential, per agent · per agent per month billed annually ($49 billed monthly)",public
ElevateForward,Operations & Workflow,elevateforward.ai,250.0,,https://aibuildermarketplace.com/b2b/elevateforward-review/,2026-07,$250,a month (page markup also shows an unlabeled alternate $8 figure),public
ElevenLabs,Content & Media,elevenlabs.io,6.0,usage_metered|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/elevenlabs-review/,2026-07,$6,"Starter · per month, billed monthly",public
EmailListVerify,Marketing,emaillistverify.com,,usage_metered,https://aibuildermarketplace.com/b2b/emaillistverify-review/,2026-07,,,see_details
Emergent,IT & Productivity,emergent.sh,20.0,usage_metered|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/emergent-review/,2026-07,$20,per month ($17 yearly) for 100 credits,public
Employment Hero,HR & People,employmenthero.com,,per_seat|usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/employment-hero-review/,2026-07,A$10,HR Essentials · per employee per month excluding GST on the Australian pricing page…,public
EngageBay,Sales & CRM,engagebay.com,14.99,per_seat|free_tier,https://aibuildermarketplace.com/b2b/engagebay-review/,2026-07,$14.99,"All-in-One Basic, per… · per user per month on monthly billing",public
Envoy,Business Operations,envoy.com,362.0,per_seat|usage_metered,https://aibuildermarketplace.com/b2b/envoy-review/,2026-07,$362,"Visitors Premium · per location per month, billed annually…",public
Essential Loyalty,Growth & Revenue,essential-apps.com,10.0,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/essential-loyalty-review/,2026-07,$10,Starter · per month for up to 500 loyalty-influenced orders,public
Evey Events,E-commerce,evey.io,19.0,,https://aibuildermarketplace.com/b2b/evey-events-review/,2026-07,$19,"per month plus $0.75 per ticket, 7-day trial",public
Evolve,Operations & Workflow,evolveplatform.ai,,,https://aibuildermarketplace.com/b2b/evolve-review/,2026-07,,,quote_only
Expandi,Sales & CRM,expandi.io,99.0,per_seat|annual_lock,https://aibuildermarketplace.com/b2b/expandi-review/,2026-07,$99,"Business · per month, month-to-month",public
ExpertEx,IT & Productivity,expertex.ai,10.0,usage_metered,https://aibuildermarketplace.com/b2b/expertex-review/,2026-07,$10,"a month, or $7 billed yearly, for 1,000 credits",public
Expertise AI,IT & Productivity,expertise.ai,2000.0,per_seat|usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/expertise-ai-review/,2026-07,"$2,000",Business · per month on both monthly and yearly billing -- there is no annual…,public
ExpertSender,Growth & Revenue,expertsender.com,,quote_only,https://aibuildermarketplace.com/b2b/expertsender-review/,2026-07,,,quote_only
Fast Bundle,Growth & Revenue,fastbundle.co,19.0,usage_metered|addons_extra|annual_lock,https://aibuildermarketplace.com/b2b/fast-bundle-review/,2026-07,$19,"Standard (1K) · per month on the App Store listing, or $180 a year, for up to $1,000 of…",public
Fastmail,IT & Productivity,fastmail.com,5.0,,https://aibuildermarketplace.com/b2b/fastmail-review/,2026-07,$5,"Individual · per month, or $60 for twelve months, with 60 GB for one person",public
Feedvisor,Growth & Revenue,feedvisor.com,,usage_metered,https://aibuildermarketplace.com/b2b/feedvisor-review/,2026-07,,,quote_only
Feedyio,E-commerce,feedyio.com,9.99,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/feedyio-review/,2026-07,$9.99,"per month (1,000 products/2,000 variants)",public
Filevine,Business Operations,filevine.com,,,https://aibuildermarketplace.com/b2b/filevine-review/,2026-07,,,quote_only
Finale Inventory,Operations & Workflow,finaleinventory.com,499.0,quote_only|usage_metered,https://aibuildermarketplace.com/b2b/finale-inventory-review/,2026-07,$499,a month,public
Fireflies.ai,Communication & Voice,fireflies.ai,10.0,per_seat|usage_metered|free_tier,https://aibuildermarketplace.com/b2b/fireflies-ai-review/,2026-07,$10,per seat/mo billed annually ($18 monthly),public
Flatpay,Financial Operations,flatpay.com,,quote_only,https://aibuildermarketplace.com/b2b/flatpay-review/,2026-07,,,quote_only
FlexiQuiz,Operations & Workflow,flexiquiz.com,25.0,free_tier,https://aibuildermarketplace.com/b2b/flexiquiz-review/,2026-07,$25,per month billed monthly or $17/mo billed yearly ($204/yr),public
Flippa,Financial Operations,flippa.com,,usage_metered,https://aibuildermarketplace.com/b2b/flippa-review/,2026-07,,,see_details
Flocksy,Growth & Revenue,flocksy.com,1199.0,annual_lock,https://aibuildermarketplace.com/b2b/flocksy-review/,2026-07,"$1,199",2 hours a day · per month billed annually,public
folk,Growth & Revenue,folk.app,30.0,per_seat,https://aibuildermarketplace.com/b2b/folk-review/,2026-07,$30,"Standard, per member · billed monthly",public
